measurement_index,frequency_hz,excitation,harmonic_3_real,harmonic_3_imag,harmonic_3_magnitude,harmonic_5_real,harmonic_5_imag,harmonic_5_magnitude,harmonic_5_over_3
1,5000.0,14.999867562268,0.399524301393,-0.265178282842,0.47951974838852723,0.084933407119,-0.09013528133,0.123846891706171,0.2582727658712087
2,5000.0,15.000626793621,0.399073088051,-0.27080741729,0.4822820615219287,0.084147289118,-0.091117943468,0.12402921384797183,0.25717152625701045
3,5000.0,15.002610856462,0.399422473811,-0.269670309265,0.4819340082255866,0.084501943444,-0.091029892123,0.12420555424673242,0.25772315737592344
4,5000.0,15.001447111757,0.396910155685,-0.270394348468,0.4802611533002905,0.083880422083,-0.091182034235,0.12389547439698896,0.2579752152461131
5,5000.0,15.003712527729,0.388849130105,-0.263255809966,0.46958201356554313,0.082413810132,-0.089277619116,0.12150114968795528,0.25874319326116274
