measurement_index,frequency_hz,excitation,harmonic_3_real,harmonic_3_imag,harmonic_3_magnitude,harmonic_5_real,harmonic_5_imag,harmonic_5_magnitude,harmonic_5_over_3
1,5000.0,15.003521991635,0.388791096456,-0.260397072376,0.46793712396587056,0.082356471921,-0.088311525869,0.1207539401783044,0.2580559096377908
2,5000.0,15.001564013276,0.394364045637,-0.266565512821,0.4760043835057662,0.083632826051,-0.090114271063,0.1229432041330169,0.25828166376860184
3,5000.0,15.002569318959,0.396424517289,-0.268236651936,0.4786473642982394,0.084238942557,-0.091072161189,0.12405780099113776,0.25918413062406176
4,5000.0,15.001265895968,0.39604125994,-0.268677451153,0.47857732116444396,0.084285293932,-0.091427551876,0.12435034384850856,0.2598333400879657
5,5000.0,15.001503942922,0.37548791961,-0.255984225531,0.45444372753263046,0.07989479298,-0.087319971818,0.11835520868814085,0.26043974538000986
