measurement_index,frequency_hz,excitation,harmonic_3_real,harmonic_3_imag,harmonic_3_magnitude,harmonic_5_real,harmonic_5_imag,harmonic_5_magnitude,harmonic_5_over_3
1,5000.0,15.001824776043,0.391552616332,-0.262936809512,0.4716452238206003,0.082793820794,-0.088986096286,0.12154563790564533,0.25770564773465754
2,5000.0,15.001824776043,0.391552616332,-0.262936809512,0.4716452238206003,0.082793820794,-0.088986096286,0.12154563790564533,0.25770564773465754
3,5000.0,14.999519615321,0.389750813703,-0.262217992282,0.4697488395499808,0.08279999123,-0.088939570742,0.12151578412477655,0.25868245729183414
4,5000.0,15.001289512319,0.386260170458,-0.261300005914,0.46634173346688546,0.08195845212,-0.088623434001,0.12071164371358686,0.25884804007608403
5,5000.0,15.002785191486,0.367580437981,-0.249931572641,0.4445010341822696,0.077972463126,-0.084833253497,0.11522320037571292,0.2592191952661805
