measurement_index,frequency_hz,excitation,harmonic_3_real,harmonic_3_imag,harmonic_3_magnitude,harmonic_5_real,harmonic_5_imag,harmonic_5_magnitude,harmonic_5_over_3
1,5000.0,15.004156915529,0.406760877682,-0.268346675209,0.4873031394402826,0.086639929808,-0.091570262416,0.12606185147010285,0.25869287773294003
2,5000.0,15.002789408477,0.406976978613,-0.274150116961,0.4907020967457712,0.08652946249,-0.093027169415,0.12704881789365624,0.25891231917739127
3,5000.0,15.00176585267,0.41073491279,-0.278655322739,0.4963385512685723,0.087440245618,-0.095014659022,0.12912622500020318,0.260157557115349
4,5000.0,15.002089412857,0.411760090802,-0.280699318356,0.4983357098410612,0.087703388288,-0.095907950389,0.12996237634413502,0.2607928225444352
5,5000.0,15.001652199763,0.395651070706,-0.269390582212,0.4786554664216471,0.084585259676,-0.092624236765,0.12543490499360666,0.2620567689978311
