measurement_index,frequency_hz,point_count,field_min_mt,field_max_mt,magnetization_min,magnetization_max,ms_positive,ms_negative,ms,mr_positive,mr_negative,mr,hc_positive_mt,hc_negative_mt,hc_mt,loop_area,mr_over_ms,saturation_offset,remanence_offset,coercive_offset_mt
1,5000.0,201,-15.016525272514,15.016525272514,-2.839477215463,2.836868344987,2.78918787562,-2.7917247298885717,2.790456302754286,0.426437145296,-0.42113941791,0.42378828160299997,1.6522421101850684,-1.6780794338398421,1.6651607720124553,14.680894438711197,0.15187060309265726,-0.0012684271342857656,0.0026488636930000198,-0.01291866182738688
2,5000.0,201,-15.010811612448,15.010811612448,-3.468938328988,3.466023795666,3.405980242688191,-3.408727026011,3.4073536343495956,0.470681576435,-0.465263592204,0.4679725843195,1.5779990588022024,-1.6005947747228049,1.5892969167625037,16.718109390704207,0.1373419476046923,-0.0013733916614044883,0.0027089921155000196,-0.01129785796030125
3,5000.0,201,-15.006942772397,15.006942772397,-3.544150781981,3.541273274962,3.4796032701807618,-3.4823499812299525,3.480976625705357,0.478338749508,-0.473000183907,0.4756694667075,1.5842818718590665,-1.606469831205465,1.5953758515322658,17.08409022075237,0.13664827944976912,-0.0013733555245953877,0.0026692828004999947,-0.01109397967319925
4,5000.0,201,-15.010379601036,15.010379601036,-3.434381174902,3.431564382321,3.3718468119879526,-3.374508155394714,3.3731774836913333,0.473742094559,-0.46861983625,0.4711809654045,1.6153111137729725,-1.637324801315843,1.6263179575444078,16.907688570521977,0.1396846052965104,-0.001330671703380748,0.002561129154500019,-0.011006843771435237
5,5000.0,201,-15.013327183009,15.013327183009,-3.263607542876,3.26092642948,3.2043753129178096,-3.2069845065471907,3.2056799097325,0.463005160963,-0.458007833593,0.46050649727799997,1.6491325173992455,-1.6718060386368292,1.6604692780180375,16.450228248901432,0.14365329984440875,-0.0013045968146905285,0.0024986636849999855,-0.011336760618791852
6,5000.0,201,-15.013286022786,15.013286022786,-3.079129549398,3.076581606845,3.0234900302496666,-3.0259880577299523,3.0247390439898094,0.451642139806,-0.44671556577,0.44917885278799996,1.6880195064708032,-1.7115073566809706,1.699763431575887,15.95783169877504,0.14850168766807287,-0.001249013740142857,0.002463287017999999,-0.011743925105083708
7,5000.0,201,-15.010633234863,15.010633234863,-2.900683237651,2.89816961249,2.8484760551264765,-2.850913038118381,2.8496945466224286,0.440696506985,-0.435852231341,0.438274369163,1.7289295582828221,-1.7528679475620017,1.740898752922412,15.477801865464937,0.15379696384739208,-0.001218491495952323,0.0024221378220000145,-0.011969194639589786
8,5000.0,201,-15.007987697699,15.007987697699,-2.735321247802,2.732802436347,2.686178635039095,-2.6885869569765237,2.6873827960078094,0.431102425572,-0.426418197936,0.428760311754,1.7726019878939305,-1.7973894593170534,1.7849957236054919,15.058846694451136,0.15954567856538218,-0.0012041609687143406,0.002342113818000008,-0.012393735711561438
9,5000.0,201,-15.005695205806,15.005695205806,-2.584426978813,2.581946362498,2.5381473751237618,-2.5405144306890954,2.5393309029064284,0.4218680199,-0.417324927576,0.419596473738,1.8139968500958161,-1.8392988286537957,1.826647839374806,14.651226382384497,0.16523899002597287,-0.0011835277826668378,0.00227154616200001,-0.012650989278989777
10,5000.0,201,-15.005110253539,15.005110253539,-2.450492533994,2.447983253164,2.4067511879093333,-2.409076305256429,2.407913746582881,0.413618022147,-0.409101424299,0.41135972322299996,1.8535482916127126,-1.8793608687667251,1.866454580189719,14.284355409105036,0.17083656912826253,-0.0011625586735477533,0.0022582989240000073,-0.012906288577006264
11,5000.0,201,-15.005045391034,15.005045391034,-2.327176015965,2.324737630143,2.285838844841,-2.288083528149952,2.2869611864954758,0.405968546471,-0.401595514369,0.40378203042,1.8931352680145865,-1.9192042809666479,1.9061697744906172,13.946923990167019,0.1765583223730845,-0.0011223416544761111,0.0021865160510000092,-0.01303450647603066
12,5000.0,201,-15.003957408433,15.003957408433,-2.217001705982,2.214727432448,2.1777795709368095,-2.179902719790048,2.1788411453634287,0.400322278361,-0.396067728714,0.3981950035375,1.9365649571075,-1.9638209778501539,1.950192967478827,13.700784382636137,0.182755408481641,-0.0010615744266191385,0.0021272748235000027,-0.013628010371326882
13,5000.0,201,-15.001779644083,15.001779644083,-2.118313962335,2.116098374509,2.0810215828102856,-2.083145224107333,2.0820834034588094,0.393875095127,-0.389515416978,0.3916952560525,1.9705843269275276,-1.9985647034560965,1.9845745151918122,13.405463640510984,0.18812659252833291,-0.0010618206485237813,0.0021798390744999785,-0.013990188264284442
14,5000.0,201,-15.002179061139,15.002179061139,-2.031254482867,2.028932099547,1.9955422573589048,-1.997675211684714,1.9966087345218093,0.388802693185,-0.384570728747,0.386686710966,2.0069810564971635,-2.035075337403266,2.0210281969502146,13.182769366910673,0.19367175164572845,-0.0010664771629046443,0.002115982219000001,-0.014047140453051332
15,5000.0,201,-15.001557779197,15.001557779197,-1.954601451175,1.952373409204,1.9203337294580953,-1.9224333372691906,1.921383533363643,0.384879689155,-0.380712661808,0.3827961754815,2.0432279099434814,-2.0720138566116084,2.057620883277545,13.009286312130921,0.19922944525883557,-0.0010498039055476527,0.002083513673499987,-0.01439297333406353
16,5000.0,201,-15.004060797782,15.004060797782,-1.876472501777,1.874321864148,1.8437181614545712,-1.8457483129207621,1.8447332371876666,0.380387191544,-0.376192109471,0.3782896505075,2.079456952571247,-2.108685497512858,2.0940712250420526,12.806728557978296,0.20506469059136717,-0.0010150757330954496,0.002097541036500006,-0.014614272470805378
17,5000.0,201,-15.001609173212,15.001609173212,-1.814526395744,1.81225397379,1.7826938492816191,-1.7847979570045716,1.7837459031430953,0.377087065398,-0.372970429646,0.375028747522,2.1112247843169722,-2.1411729622912805,2.1261988733041264,12.659314855614785,0.21024785361029893,-0.001052053861476221,0.0020583178759999987,-0.014974088987154133
18,5000.0,201,-15.002888837228,15.002888837228,-1.752249804126,1.750079568629,1.7216580419765715,-1.7236935566272857,1.7226757993019286,0.372941738018,-0.368846911007,0.37089432451250004,2.140042708899249,-2.17053440774962,2.1552885583244343,12.4712758208399,0.21530129155050284,-0.0010177573253571381,0.002047413505500001,-0.015245849425185476
19,5000.0,201,-15.001404069975,15.001404069975,-1.695601273934,1.693423436032,1.6659724403145715,-1.6679849057012857,1.6669786730079286,0.369816907266,-0.365739693362,0.367778300314,2.1713156218077434,-2.2021144843643206,2.186715053086032,12.330857438579377,0.2206256782220097,-0.0010062326933570898,0.002038606951999977,-0.015399431278288578
20,5000.0,201,-15.000494701289,15.000494701289,-1.64507737102,1.642942811198,1.616357910865143,-1.6183406923761905,1.6173493016206666,0.366854115894,-0.362923537578,0.364888826736,2.199615281096122,-2.2307273679946373,2.2151713245453797,12.198943761093709,0.22560916579390905,-0.000991390755523791,0.001965289158000011,-0.01555604344925765
21,5000.0,201,-15.000049772703,15.000049772703,-1.599838906229,1.597766991337,1.5717924706513333,-1.573773618029905,1.572783044340619,0.365525329956,-0.361513905749,0.3635196178525,2.232918657353263,-2.2651189633082645,2.249018810330764,12.137684306748387,0.23113144509063782,-0.0009905736892857897,0.002005712103500007,-0.01610015297750067
22,5000.0,201,-15.003119507671,15.003119507671,-1.557003429451,1.554783576233,1.5295927804763334,-1.5315913896297142,1.5305920850530237,0.362985109772,-0.358993512587,0.3609893111795,2.2592541597613605,-2.291435670111502,2.275344914936431,12.02408585215836,0.23584945636707275,-0.0009993045766903963,0.0019957985924999866,-0.01609075517507086
