measurement_index,frequency_hz,excitation,harmonic_3_real,harmonic_3_imag,harmonic_3_magnitude,harmonic_5_real,harmonic_5_imag,harmonic_5_magnitude,harmonic_5_over_3
1,5000.0,15.016525272514,0.140236830709,-0.06535475851,0.1547178501246871,0.030945211792,-0.024123393012,0.039237026177618844,0.2536037447909063
2,5000.0,15.010811612448,0.136445412261,-0.066900911298,0.15196408279451137,0.029655250811,-0.024055738541,0.03818523873719096,0.2512780522541352
3,5000.0,15.006942772397,0.133785289343,-0.06766541175,0.14992368589348137,0.02868900806,-0.023765316656,0.037253851602575216,0.2484854303078137
4,5000.0,15.010379601036,0.131575038005,-0.067935480417,0.14807842559098805,0.027937152208,-0.023394526215,0.03643882998008143,0.24607791333985574
5,5000.0,15.013327183009,0.129580269429,-0.067957877064,0.14631923756067747,0.027298308164,-0.023022733792,0.03571055726075985,0.2440592081813641
6,5000.0,15.013286022786,0.127862803282,-0.067860580923,0.1447548096138379,0.026776024891,-0.022673295654,0.035086091899457064,0.24238290936968626
7,5000.0,15.010633234863,0.126367701433,-0.067734641521,0.14337634960982304,0.02629617337,-0.022364328828,0.034520311960235944,0.24076712828983113
8,5000.0,15.007987697699,0.125052021457,-0.06761674926,0.14216199510056018,0.025907797264,-0.022106728995,0.03405761920526594,0.2395690858247651
9,5000.0,15.005695205806,0.123960779256,-0.067506380259,0.14115022553799716,0.025580278659,-0.021900292558,0.033674522571197366,0.2385722193701511
10,5000.0,15.005110253539,0.122988279679,-0.067417870606,0.14025436255406562,0.025308365224,-0.021715152557,0.033347581634732615,0.23776502226002205
11,5000.0,15.005045391034,0.12218297071,-0.067321439164,0.13950216665927764,0.025054100572,-0.021571074003,0.03306084072002394,0.23699159311820778
12,5000.0,15.003957408433,0.121431521845,-0.067248765843,0.13880926123641518,0.02484099196,-0.021423826033,0.03280328037634397,0.23631910496573094
13,5000.0,15.001779644083,0.120785471294,-0.067200293973,0.13822087246784154,0.024657417382,-0.021326372745,0.03260065039855546,0.23585909867657887
14,5000.0,15.002179061139,0.120241537126,-0.067152671698,0.13772257827459738,0.024493392791,-0.021218211693,0.032405845118792576,0.23529798472244953
15,5000.0,15.001557779197,0.119744911742,-0.067103675008,0.1372652435530519,0.024351992197,-0.021137371272,0.03224605384001459,0.23491783502756658
16,5000.0,15.004060797782,0.119322380723,-0.067070812827,0.13688069430960317,0.024227363935,-0.021073569453,0.03211013068689309,0.23458480283760755
17,5000.0,15.001609173212,0.118953538148,-0.067046590061,0.13654738912456538,0.024110969132,-0.021010423482,0.03198088065355977,0.23421085425796906
18,5000.0,15.002888837228,0.118611770525,-0.067038810126,0.13624593267391558,0.024009207414,-0.020951853319,0.031865689983889625,0.2338836056130602
19,5000.0,15.001404069975,0.118292718103,-0.067001924179,0.13595008275056064,0.023895875894,-0.020893253322,0.03174178506509542,0.2334811750231503
20,5000.0,15.000494701289,0.117993917106,-0.066968493803,0.1356736659645491,0.023814457135,-0.020850680152,0.03165247591320084,0.23329859695448552
21,5000.0,15.000049772703,0.1177706848,-0.066981609952,0.13548605193901997,0.023747770956,-0.02080685216,0.03157343380417679,0.23303826004456513
22,5000.0,15.003119507671,0.117538369772,-0.06696390422,0.13527539627384108,0.023692852278,-0.020791019901,0.03152170296146621,0.23301874420427574
23,5000.0,15.000852505502,0.11734712919,-0.066950895776,0.13510281704814064,0.02360414355,-0.020738401268,0.03142032590349105,0.2325660307460145
24,5000.0,15.001764991703,0.117182656427,-0.066928132229,0.13494869340216242,0.02351817572,-0.020713777557,0.03133951451247569,0.23223281176261842
25,5000.0,15.002316695393,0.117019757707,-0.066897180617,0.13479190060351737,0.023430871415,-0.02065793211,0.031237091643231338,0.23174309067065868
26,5000.0,15.000676496533,0.116848324203,-0.066893902487,0.13464146857112655,0.023393518584,-0.020645610332,0.031200928475299233,0.23173342363550375
27,5000.0,15.000308884095,0.116699523452,-0.066886691827,0.13450876669378828,0.02335051998,-0.020631283109,0.031159214143814475,0.23165192061234943
