measurement_index,frequency_hz,excitation,harmonic_3_real,harmonic_3_imag,harmonic_3_magnitude,harmonic_5_real,harmonic_5_imag,harmonic_5_magnitude,harmonic_5_over_3
1,5000.0,15.002536793506,0.33394479062,-0.22679162035,0.4036750701284564,0.068689918768,-0.073734048612,0.1007720936820865,0.24963665368292148
2,5000.0,15.000498703969,0.330135955727,-0.230366804341,0.40256504295090534,0.067079546215,-0.07404568989,0.09991210993516436,0.24818873790625953
3,5000.0,15.002195409722,0.328826404304,-0.231603918552,0.402202908065244,0.066521322895,-0.07415528138,0.09961973778447634,0.24768527473778576
4,5000.0,15.002497343221,0.328131184719,-0.232183928952,0.401969465567575,0.066187450969,-0.074167792379,0.09940643888676542,0.24729848260092338
5,5000.0,14.994772717791,0.327507698852,-0.232415900296,0.4015948748648724,0.065904844435,-0.074118680977,0.09918178960762833,0.24696975936508345
6,5000.0,15.002310175944,0.327356353638,-0.232678153555,0.40162333772943454,0.065935162471,-0.074210624277,0.09927065228787019,0.24717351548616132
7,5000.0,14.999547358907,0.327025508305,-0.232749280513,0.4013949559492032,0.065791866349,-0.074167998008,0.09914364127970775,0.24699772583154841
8,5000.0,14.998336282115,0.3268532216,-0.232830848973,0.40130192212819843,0.065742813026,-0.07417220454,0.09911424413723384,0.24698173288482572
9,5000.0,14.99817330511,0.326652117404,-0.232779269914,0.40110820772730577,0.065714849939,-0.074160043022,0.09908659588223917,0.24703208254866577
10,5000.0,14.998868853245,0.326547944819,-0.23278140704,0.4010246173603746,0.065696139062,-0.074171152295,0.09908250360392458,0.24707336984972575
11,5000.0,14.999692867502,0.326490050632,-0.232747402509,0.40095773659623074,0.065690350335,-0.074157255395,0.09906826260137143,0.24707906484701245
