measurement_index,frequency_hz,excitation,harmonic_3_real,harmonic_3_imag,harmonic_3_magnitude,harmonic_5_real,harmonic_5_imag,harmonic_5_magnitude,harmonic_5_over_3
1,5000.0,15.003033129556,0.323661146847,-0.229034395015,0.39650131409391615,0.065494601752,-0.072724736627,0.09786945476561928,0.24683261136036921
2,5000.0,14.998541850976,0.324456505258,-0.228983014391,0.3971211964675564,0.065716917204,-0.072860413141,0.0981190756676529,0.2470758965787638
3,5000.0,14.999117594686,0.324858805619,-0.22901369409,0.39746762845413125,0.06584778159,-0.072946007918,0.09827029261937334,0.24724099671104152
4,5000.0,15.000091211446,0.325084473071,-0.229038575165,0.39766642245161093,0.065916459599,-0.073001819137,0.09835774114617446,0.24733730481894756
5,5000.0,15.001079332431,0.325274171297,-0.229152955622,0.39788737550121944,0.065961939709,-0.073081075918,0.09844704742909373,0.24742440572556443
6,5000.0,14.997605292055,0.325342577494,-0.229160491354,0.39794763917888254,0.065999226204,-0.073090742299,0.09847920830990463,0.24746775357960338
7,5000.0,14.997629023001,0.325423596717,-0.229207723782,0.39804107569640884,0.066016779979,-0.0731223595,0.0985144390312554,0.24749817304381333
8,5000.0,14.998897022362,0.32551423695,-0.229238883825,0.3981331238599378,0.066076393694,-0.073166941441,0.09858747954702567,0.24762440912027325
9,5000.0,15.001073076858,0.325621159395,-0.229304312554,0.3982582167408559,0.066081329595,-0.0732125387,0.09862463152753484,0.24763991647084904
10,5000.0,14.995643729532,0.325591861457,-0.229286281636,0.39822388074235,0.066080543447,-0.073198696205,0.09861382939711212,0.2476341429180011
11,5000.0,14.999459893189,0.325777671732,-0.229379939665,0.3984297279569407,0.066127628057,-0.07327235981,0.09870006030682574,0.2477226305701077
12,5000.0,14.99857079466,0.325756308539,-0.229387243999,0.3984164658525209,0.066121892261,-0.073269536056,0.09869412115236031,0.24771596962283493
13,5000.0,15.000374007282,0.325856841025,-0.229452377658,0.3985361645518529,0.066172886749,-0.07330718928,0.09875624000957979,0.24779743670346577
14,5000.0,15.000475667925,0.325955850763,-0.22950081915,0.3986450082932836,0.066178724617,-0.073338734008,0.09878356896685248,0.24779833413636349
15,5000.0,15.002730408892,0.326046941563,-0.229527781355,0.3987350129049806,0.06621192265,-0.073373834994,0.09883186916544846,0.24786353334112726
16,5000.0,14.998968488899,0.325967195658,-0.229487835633,0.3986468102828112,0.066190884622,-0.073340570125,0.09879307887348668,0.2478210694910618
17,5000.0,15.000211280744,0.326058267735,-0.22954552189,0.3987544865930682,0.066202855739,-0.073372761848,0.09882499830104816,0.247834197792738
18,5000.0,15.000948034837,0.326142733174,-0.229561201104,0.3988325807334678,0.0662337488,-0.073403845301,0.0988687715361865,0.24789542357438102
19,5000.0,14.998541957476,0.326108845373,-0.229520259177,0.3987813039789961,0.066215623179,-0.073380201998,0.09883907525999322,0.2478528312982273
20,5000.0,14.999012322253,0.326151031616,-0.229547207294,0.3988313124626195,0.066230352775,-0.07339297733,0.09885842781504693,0.24787027679606388
21,5000.0,15.002248299247,0.326292443953,-0.229580927176,0.39896636588040035,0.066280306605,-0.073432214919,0.09892102522498952,0.24794326962048588
22,5000.0,15.000323350499,0.32629135963,-0.229579198491,0.39896448432030135,0.066259076223,-0.073432291131,0.0989068580163846,0.24790892899875028
23,5000.0,14.999082776369,0.326292240122,-0.229573561408,0.3989619606696679,0.066274954973,-0.073434664505,0.09891925802206102,0.24794157782867945
24,5000.0,14.99724378594,0.326286345471,-0.2295637094,0.39895147062557423,0.0662701248,-0.073423456693,0.09890770158969635,0.24791913020048412
25,5000.0,15.002477476138,0.326487213285,-0.229633699459,0.39915603010080086,0.066354052168,-0.073477949392,0.09900439023582226,0.24803430931713644
26,5000.0,15.003906093936,0.3265886362,-0.229613883146,0.39922759502364175,0.066346903707,-0.073498025456,0.09901450084425388,0.24801517249425198
27,5000.0,15.000566091713,0.326527094649,-0.229570451847,0.39915227157208155,0.066328687525,-0.073459469718,0.09897367569227107,0.24795969543767898
28,5000.0,14.999313685777,0.326527614196,-0.22958361209,0.39916026577406655,0.066337622136,-0.073484924161,0.09899855650264118,0.24801706229616685
29,5000.0,14.99893488171,0.326598173547,-0.229587792754,0.39922039219695427,0.066373408849,-0.07348726478,0.09902427726109563,0.2480441360125769
30,5000.0,14.99738113293,0.326601372319,-0.229558196761,0.3992059895602971,0.066374135735,-0.073502531594,0.09903609465894328,0.2480826872563359
