measurement_index,frequency_hz,excitation,harmonic_3_real,harmonic_3_imag,harmonic_3_magnitude,harmonic_5_real,harmonic_5_imag,harmonic_5_magnitude,harmonic_5_over_3
1,5000.0,15.023285715673,0.328733558492,-0.222472062181,0.3969377418813685,0.067629776613,-0.072246637677,0.09896142349600676,0.24931220454613015
2,5000.0,15.0682700843,0.325657057891,-0.227056458881,0.3969976761566765,0.066121478047,-0.072899364298,0.098419343495943,0.2479091173750384
3,5000.0,15.017797264064,0.322643540985,-0.227666366207,0.39488077800931154,0.065113017772,-0.072598314815,0.09752035888651475,0.24696152438246857
4,5000.0,15.012488006869,0.321687851719,-0.228235302914,0.3944292426276615,0.064719789353,-0.072593307264,0.09725450834497189,0.24657022815313792
5,5000.0,15.005119765932,0.320962876199,-0.2285184473,0.39400234600105805,0.064438230097,-0.07255754272,0.09704062295553623,0.24629453083326472
6,5000.0,15.005247773923,0.320578515142,-0.228697711211,0.3937933817166046,0.064298291852,-0.072556947719,0.09694731041850861,0.24618826755264575
7,5000.0,15.002171374196,0.320282248698,-0.228801406101,0.3936125026785128,0.064147245063,-0.07253122916,0.09682793115952139,0.24599810854739704
8,5000.0,14.999102612486,0.320031279288,-0.228849367525,0.3934362117793765,0.064050220537,-0.072504009137,0.09674327931064006,0.2458931750921033
9,5000.0,14.999448919288,0.319916341997,-0.228852116205,0.3933443236761505,0.064061362591,-0.072529343463,0.09676964317485827,0.24601764243210728
10,5000.0,14.999869071193,0.319795337288,-0.228863311659,0.39325242933092003,0.064011305528,-0.072493331056,0.09670951495583967,0.24592223147961553
11,5000.0,14.997545258509,0.319670457593,-0.228838962826,0.39313670951082325,0.063986603458,-0.072482898751,0.09668534549474939,0.2459331401920064
