measurement_index	harmonic_3_magnitude	harmonic_5_magnitude	harmonic_7_magnitude	harmonic_5_over_3
1	1.0698407173584383	0.3762600496507982	0.1772814862868875	0.35169726067243745
2	1.07256545715467	0.37688422963744267	0.17753970045912693	0.3513857612357302
3	1.074183242441588	0.3773313241370701	0.17776090713170165	0.3512727710026519
4	1.075193849692039	0.37757155296026124	0.1778737513494982	0.35116602747347064
5	1.0758660643626532	0.3777332038420803	0.1779316727870075	0.35109686637978565
6	1.0764515785494044	0.3778801545095879	0.17799515684454495	0.35104240826030325
7	1.0769697495612174	0.37799202612312005	0.17808297741874923	0.35097738471960127
8	1.077359586050453	0.37806747917965355	0.17809853875919782	0.3509204206978194
9	1.0776454520584573	0.37813316627758187	0.1781486675943564	0.35088828663944466
10	1.0778933357060778	0.37817576535780156	0.17813989492140136	0.350847113374234
11	1.078179967299369	0.37822220269976004	0.17818368620453234	0.3507969116205461
12	1.0784868045294655	0.3782863161408839	0.1782249847962178	0.3507565549732683
13	1.078708477016509	0.3783314437056221	0.17824647375922556	0.35072630999620114
14	1.0789073157868452	0.3783762978965556	0.17825944802266175	0.35070324610840775
15	1.0790207475142555	0.37837613714621493	0.17827560719926802	0.35066622955849697
16	1.0792452097560141	0.37843889340436826	0.178306935732082	0.3506514460137583
17	1.0794078231640178	0.37845869298465695	0.1783337630308483	0.3506169631745846
18	1.0795676599861106	0.37850634907620256	0.17834059165392446	0.3506091957970215
19	1.0797059979859387	0.37853482110150144	0.17836614655649277	0.35059064394160305
20	1.0799345238605034	0.37858829641395064	0.17840330894791387	0.35056597233375736
21	1.0800155396775502	0.3785891193476662	0.17840641023972018	0.35054043709472726
22	1.0801341946160055	0.37861693089562637	0.178422882993822	0.35052767774862187
23	1.080374483330888	0.3786686472719218	0.17846645376264145	0.35049758497114225
24	1.0804357592631957	0.37869049878737865	0.17847478758458432	0.35049793154349784
25	1.0805429141410945	0.3787105162219483	0.17848852400968931	0.3504816988439362
26	1.080696655376088	0.37873911311048164	0.1785193556077668	0.3504583004179637
27	1.080803319707741	0.37876916061505994	0.1785344782776295	0.3504515148209228
28	1.0808923676970985	0.37879923737429816	0.17852601002743593	0.35045046916313327
29	1.081021743801482	0.3788429259424186	0.17853481434606083	0.3504489415820567
30	1.0811762484026999	0.37891196324396664	0.17856136352163246	0.35046271484761227
31	1.0812847418532556	0.3789329600962419	0.17856897306039965	0.35044696871128883
32	1.0813691663770415	0.3789401822779008	0.17858789629698138	0.3504262873958952
33	1.0815085591310962	0.37900473664351547	0.17860682699269012	0.35044081107228114
34	1.0815864383161014	0.3790124180291601	0.178626181922162	0.3504226796882146
35	1.0816771692249203	0.37905260883893394	0.17864164592589918	0.3504304423015098
36	1.0817292247610466	0.3790338780921374	0.17866067500712016	0.35039626314604355
37	1.081845206563233	0.3790404126149676	0.17868713540748027	0.35036473824114783
38	1.082039204697494	0.3791582839221399	0.1786918798322482	0.3504108559801595
39	1.0820673445934648	0.37914825730727203	0.17870897273968744	0.35039247714264854
40	1.0822636532482577	0.3792048036775276	0.1787437995535363	0.3503811687100452
41	1.0823157912046901	0.37920318805545744	0.1787723190598478	0.35036279719561225
42	1.0824263998792525	0.37925164199689904	0.17879934497012617	0.3503717592616048
43	1.082581876036448	0.37929575138407845	0.17881555897595056	0.3503621848656447
44	1.0826309699595145	0.37930421459233377	0.17884192743251326	0.3503541142985389
45	1.0827965655440996	0.37935012931631085	0.1788726028184014	0.3503429373417798
46	1.0829072743713506	0.37936848194456657	0.17892568439154424	0.3503240682955035
47	1.0830522501139208	0.3794199656632158	0.17894787342395704	0.35032471020978584
48	1.083107507110789	0.3794298515916639	0.1789575304715466	0.3503159650363801
49	1.0832310225374389	0.37946595080882933	0.17896217752988472	0.3503093457570489
50	1.0833478599523052	0.37950827308173035	0.1790101726008647	0.3503106316178428
51	1.0834785701784058	0.37954370661335257	0.17903911370499645	0.3503010738374427
52	1.0835429322071009	0.37957224399366285	0.17904336694421003	0.35030660319153284
53	1.0836530041401704	0.37961865636954445	0.1790613527824572	0.35031385039231694
54	1.0837876576160703	0.37965926140439593	0.17908192977857107	0.3503077920627968
55	1.083878437683643	0.37969596441817804	0.17909505719598537	0.3503123147551735
56	1.083924932712743	0.3796899677541701	0.17908690844529884	0.3502917557251115
57	1.0840000069539533	0.37973841080018855	0.17911496509347236	0.350312184837762
58	1.0841384200153268	0.3797862216378627	0.1791488556174705	0.3503115604301649
59	1.0841454166333162	0.3797757762180536	0.17913184180949862	0.35029966496321296
60	1.0842510599684487	0.3798234033157427	0.17913685018551054	0.3503094599942521
61	1.0843902794915916	0.37986608682710776	0.1791670215498445	0.35030384725064595
62	1.084433308353704	0.37988947013094104	0.17918690631175427	0.35031151035710756
63	1.0845823092723026	0.3799348981526078	0.17923360411599654	0.35030526950741436
64	1.0847345937170974	0.37997596240040954	0.17925191267536664	0.35029394711044737
65	1.0847975972662407	0.38000078837271695	0.17926490920418903	0.35029648787049605
66	1.0849382358571005	0.38004627767909244	0.17928354748888975	0.3502930075819995
67	1.0849427041471045	0.3800449028614914	0.1792873718259381	0.3502902977353559
68	1.085051161459278	0.3801012253031308	0.17930616209871145	0.35030719177511893
69	1.0851704039289838	0.38014595655044014	0.1793250861923452	0.35030991922934696
70	1.08527752525465	0.3801439573247029	0.17937114729787507	0.3502735000759421
71	1.0853099794073102	0.38017929604214434	0.1793650351824578	0.3502955867500278
72	1.0853384032696958	0.3801750702990624	0.17934314654319866	0.35028251940016597
73	1.0854803897151033	0.3802306445402697	0.17937785843726928	0.3502878984668397
74	1.0855850677452408	0.380261542497922	0.17939181041247285	0.3502825838307862
75	1.0856699562329362	0.38029030729992885	0.1794252018523847	0.3502816902288264
76	1.085720401166646	0.38031544462687467	0.17944399179614523	0.35028856804957514
77	1.0858211385924976	0.38034399263684127	0.17944739078466457	0.35028236154056136
78	1.0858517237840721	0.38034131753023315	0.17944946294303166	0.3502700315332061
79	1.085919962732846	0.38037134093200603	0.17946192568010738	0.35027566854444464
80	1.0860393347845083	0.3804267685026381	0.17950234253534286	0.3502882044121563
81	1.0861291731547849	0.38045829738712633	0.179530183233215	0.3502882592519288
82	1.0861049114571852	0.38040784429524105	0.17952720275061707	0.3502496308435457
83	1.0862315721328115	0.3804561877809897	0.1795406921027821	0.3502532954680791
84	1.0862752367503612	0.3804654158707363	0.17954879301493734	0.3502477116286981
85	1.086346229594755	0.3804860037538728	0.17955629256402045	0.3502437743957627
86	1.086405543855245	0.38050961135563827	0.1795685011285433	0.3502463822168586
87	1.0864967130547607	0.38053185791673055	0.1795794558010335	0.3502374681344768
88	1.0865470190426825	0.3805534929193144	0.17958447101565914	0.3502411642108285
89	1.0866262038799939	0.3805803038815419	0.1795916968467592	0.3502403149515552
90	1.086678966603743	0.38059283790011716	0.1796019281944239	0.35023484358918316
91	1.086716083054077	0.3805819902609897	0.17960905212026038	0.35021289939080735
92	1.0867664320923676	0.38060145152244174	0.17962775033272954	0.3502145817934992
93	1.0868737418462062	0.38061739125569893	0.1796376241216837	0.3501946699063383
94	1.0869018411202278	0.38062717507262483	0.1796492822661207	0.3501946180165884
95	1.0868920315632682	0.380627991931199	0.1796162900048507	0.350198530192318
96	1.0869396750071	0.380627008630559	0.179626986214973	0.35018227541291347
97	1.0870916350246451	0.38068760185435785	0.17967692760278994	0.3501890637266539
98	1.0871370665933835	0.3806962932046966	0.1796650368062956	0.3501824240043933
99	1.0870950957001713	0.38067750984340903	0.17965805170595892	0.35017866546277077
100	1.0872644304598933	0.3807213491256917	0.1796970694547012	0.3501644480033743
