measurement_index	harmonic_3_magnitude	harmonic_5_magnitude	harmonic_7_magnitude	harmonic_5_over_3
1	0.4409562951916244	0.07293099204792139	0.019750722125710624	0.16539279026786113
2	0.43582987816955765	0.07145835821886297	0.020000044040523444	0.16395929191220437
3	0.43277727982736797	0.07067616670489274	0.02016528030293953	0.1633084036506838
4	0.43059649019404544	0.07015847531950811	0.020284062237873036	0.16293322615772288
5	0.4290349490518555	0.06977639662023587	0.02036800738991422	0.16263569383901708
6	0.42779730789199505	0.06950080576615467	0.020440806115134297	0.16246199890463398
7	0.42681628754058476	0.0692868996832452	0.020491130518578083	0.1623342447461237
8	0.4261400457993726	0.06913028167047419	0.02053500260159924	0.16222432590393263
9	0.42550471193626876	0.06898821279467758	0.020570198016866815	0.16213266471420532
10	0.4249547822133829	0.06887213696814257	0.020600431873632464	0.16206933031655998
11	0.42454753822303265	0.06878547276933404	0.02062583500756159	0.1620206610012143
12	0.4241780747824999	0.06870948179553608	0.020655837180803834	0.1619826338991409
13	0.4238555953264265	0.06865779535801873	0.02067298925877018	0.16198393064775488
14	0.4235334946115309	0.0685657268228434	0.020701233045001197	0.161889738816838
15	0.4233539026790928	0.06854254018387189	0.020725145524191507	0.1619036455082072
16	0.4231939526294036	0.06850223419594975	0.020742205463882946	0.16186959612803833
17	0.42307261118069295	0.06848225056532561	0.020765432672372262	0.16186878742683974
18	0.4229129630142387	0.06843762519271532	0.020785014184401478	0.16182437328224236
19	0.4227665622230786	0.06841141386506497	0.02079991424921053	0.1618184122824897
20	0.4226292429660071	0.0683756913656107	0.020801308862708846	0.16178646533247648
21	0.4224867957218044	0.06835141125824554	0.0208156185208074	0.16178354436253908
22	0.4224894879506561	0.06835084503166079	0.02082701085121157	0.16178117321499774
23	0.42244484680411987	0.0683481232957604	0.02085399793560896	0.16179182634804917
24	0.4223579820696764	0.0683278341827044	0.02086403915337199	0.1617770637312884
25	0.4223364767249993	0.06832570861044668	0.020874332027595494	0.16178026852020258
26	0.42232857904198523	0.06832215595360207	0.02087797414126206	0.16177488179602903
27	0.422226764225169	0.06830601156584297	0.020886982221523027	0.1617756555323814
28	0.42223941484149063	0.06829742427180878	0.0208949394275479	0.16175047110996907
29	0.42214743288617335	0.06828375573084963	0.02089378039499871	0.16175333642088371
30	0.42216759292086714	0.06829515549146781	0.020911571518725202	0.16177261503885576
31	0.4221710184662998	0.06829045116628082	0.020911278458085034	0.16176015922261178
32	0.42214339984513294	0.06827044947156545	0.020915459401569747	0.16172336105837748
33	0.4221589295894638	0.0682849637754175	0.020932585250515674	0.16175179296058587
34	0.42205940389814617	0.06826406138119168	0.02093300098433798	0.16174041083009622
35	0.42202966190722235	0.06825735233549235	0.020936583161616437	0.1617359121797885
36	0.4221234274289836	0.06827833240196524	0.020945309249327717	0.16174968733156161
37	0.4220888464947373	0.06826996942101488	0.02094821146688055	0.16174312585600642
38	0.42207886020285007	0.06826479764701868	0.02094815283980219	0.1617346995635147
39	0.42214027029358053	0.06827472050771835	0.02095057124197513	0.16173467757585933
40	0.4221112452456023	0.06826960806947835	0.02096244518669035	0.16173368712258823
41	0.4220406288451328	0.06825277482778899	0.02096232995476643	0.16172086326038113
42	0.4220838094462822	0.068269998655243	0.020967496672558723	0.16174512532192162
43	0.4221721404792837	0.06828866545477316	0.020968639414572297	0.1617554994918575
44	0.42205096121954455	0.06824578087471225	0.020966660509038962	0.16170033276908433
45	0.4221280415329782	0.0682728571961115	0.020973933426582936	0.1617349488277901
46	0.4221823282137228	0.06828659313425378	0.020979353105271773	0.1617466875583784
47	0.42222250195430777	0.0682919029066714	0.020973033864206687	0.1617438734093377
48	0.4221427191626827	0.06827060142246717	0.02097616700600532	0.16172398178009906
49	0.42223648674892433	0.06829040630207013	0.02099021094288387	0.16173497185873908
50	0.4221606064315162	0.068276147918994	0.02097865564604403	0.16173026776734534
51	0.42219179269907	0.06828940760430269	0.020990929476225433	0.16174972793224818
52	0.42221833438775747	0.06828154085146367	0.020989166612344578	0.16172092798972384
53	0.4222381731712847	0.06829048718683768	0.020992087670753858	0.16173451745002465
54	0.42228631782054576	0.06831117663691531	0.020991681951950968	0.16176507207118357
55	0.42238695037806445	0.06832499205041075	0.02099502543542087	0.1617592399321412
56	0.42234194450704965	0.06832961285963408	0.02100397791542674	0.1617874183427063
57	0.4224211974023376	0.06834118355510338	0.02100143044969383	0.16178445583546655
58	0.42238511484449637	0.06831917491268309	0.020997834093815393	0.16174617076133285
59	0.42239732125794677	0.06831581730656865	0.02100026238503617	0.16173354770128856
60	0.42243141372759613	0.06832941667036226	0.020999801258275417	0.16175268801014006
61	0.42242291226116785	0.06832592178914729	0.020990879830195666	0.16174766994386894
62	0.42256594960244975	0.06837117659230153	0.021011305755811255	0.1618000140726558
63	0.4224888664337633	0.06833340356284168	0.02100718251052811	0.16174012853793107
64	0.42258090210341465	0.06836581343415352	0.021013742305065294	0.16178159754465887
65	0.42255780132671467	0.06835865186530851	0.02102212669942025	0.16177349382896553
66	0.42261205970699595	0.06836144766751669	0.021013266470047032	0.16175933955815844
67	0.4225684833957261	0.06834826293438072	0.02101653610238174	0.1617448191714148
68	0.42261547262653454	0.0683636841363757	0.02100677144518472	0.16176332520789818
69	0.42266109459193113	0.06836626865438879	0.021011571050112487	0.16175197937343805
70	0.42269040194694646	0.0683870190254426	0.021002175305537135	0.16178985543661842
71	0.42268900757743366	0.06839200599525473	0.021011255949256222	0.16180218735100604
72	0.42268022571227776	0.06838340925298014	0.021007630836596805	0.1617852104099361
73	0.4227394919246984	0.06839295222534887	0.021009419691460054	0.1617851029577609
74	0.42277137820565946	0.06841412083695116	0.021014119965542703	0.16182297185612865
75	0.422765439592007	0.06839059397885079	0.021008402089972737	0.16176959508528335
76	0.42284733471141067	0.06842311735676106	0.021003366317664682	0.1618151794747842
77	0.42284542236486405	0.06840790090997548	0.021004544591636958	0.16177992545689143
78	0.42280622078287844	0.06839191156132045	0.021002933282526597	0.161757108101873
79	0.42285649477612836	0.06841150697489873	0.021013832699884077	0.16178421715177302
80	0.42280945873285725	0.06840214687666785	0.021001483375794494	0.16178007720467347
81	0.42294444927571767	0.06842012282230597	0.02101602812797167	0.16177094400806963
82	0.4228722373538512	0.06841389008188527	0.021003340760147683	0.1617838298158076
83	0.4230126770637476	0.06844962014319202	0.02101678294094724	0.16181458347376365
84	0.42301847589388397	0.06844266267660058	0.021013069155379455	0.16179591809074959
85	0.42302586734773845	0.06845830362621787	0.021007463612529646	0.16183006503936398
86	0.42307912426482347	0.06846870628503585	0.021014315926888766	0.16183428195378965
87	0.4229817123193711	0.06844456792298047	0.021008036393323444	0.16181448495177872
88	0.4230441091136409	0.06844347860007241	0.02099951478758908	0.16178804319831971
89	0.423040675543977	0.06844156314032743	0.021004037131566348	0.16178482849744932
90	0.4231318373751809	0.06846978652629206	0.021003283502441173	0.1618166738552021
91	0.4232496840503504	0.06850520490037529	0.021018349316293764	0.16185530074069898
92	0.42314518065557677	0.06847979265228292	0.02100457275550999	0.16183521822507232
93	0.4232291530245467	0.0684964795522706	0.021017362510999973	0.1618425362779721
94	0.42312849136616876	0.06847380973833976	0.020998539541267503	0.1618274617179669
95	0.4231755241582727	0.0684827513230445	0.021002916691032752	0.16183060553717454
96	0.4232331663479413	0.06849346916198247	0.020999116368742073	0.16183388875926086
97	0.423182434261311	0.06847213293908921	0.020990675160602552	0.1618028712808253
98	0.42325003326401905	0.06849544828091023	0.02099997479438365	0.16183211552917579
99	0.4232108493561151	0.06847929007048473	0.020991689872764088	0.16180891906403405
100	0.42328624263928244	0.0685004892071186	0.02099656085005126	0.16183018087241163
